id,vejnavn,geometry,aadt_cykler
trafiktaelling.81,Borgergade,POINT (12.58391795 55.68234291),4500.0
trafiktaelling.82,Dybbølsbro,POINT (12.5594729 55.66466356),20600.0
trafiktaelling.83,Frederiksberggade,POINT (12.56975849 55.67664988),300.0
trafiktaelling.84,Frederikssundsvej,POINT (12.53403497 55.70169208),18600.0
trafiktaelling.85,Frederikssundsvej,POINT (12.50001847 55.70449412),5900.0
trafiktaelling.86,Fælledvej,POINT (12.5597638 55.68856026),7700.0
trafiktaelling.87,Gammel Kongevej,POINT (12.5560013 55.67382052),15800.0
trafiktaelling.88,Gl. Køge Landevej,POINT (12.51468667 55.65901039),7100.0
trafiktaelling.89,Gothersgade,POINT (12.58485572 55.68156865),11800.0
trafiktaelling.90,Bryggebroen,POINT (12.56689481 55.66146297),19700.0
trafiktaelling.91,Hillerødgade,POINT (12.53064524 55.69678995),4800.0
trafiktaelling.92,Holmens kanal,POINT (12.58584335 55.67852844),8900.0
trafiktaelling.93,Hulgårdsvej,POINT (12.51316122 55.69662916),3300.0
trafiktaelling.94,Lygten,POINT (12.53745931 55.70201699),8800.0
trafiktaelling.95,Nyhavnsbroen,POINT (12.59130066 55.67965165),4600.0
trafiktaelling.96,Åbuen,POINT (12.54513323 55.68656015),9400.0
trafiktaelling.97,Nørrebrogade,POINT (12.54823382 55.69473241),24500.0
trafiktaelling.98,Nørre Søgade,POINT (12.56425384 55.68512427),10500.0
trafiktaelling.99,Peter Bangs Vej,POINT (12.48365581 55.67348018),2200.0
trafiktaelling.100,Rebildvej,POINT (12.50401304 55.69003801),1900.0
trafiktaelling.101,Røde Mellemvej,POINT (12.59177017 55.64559953),3700.0
trafiktaelling.102,Slotsherrensvej,POINT (12.49364909 55.69417606),3200.0
trafiktaelling.103,Stormgade,POINT (12.57411058 55.67489002),8400.0
trafiktaelling.104,Strandvejen,POINT (12.57623817 55.72883669),6300.0
trafiktaelling.105,Strandvænget,POINT (12.58615826 55.71345726),3000.0
trafiktaelling.106,Svanemøllebroen,POINT (12.57743568 55.71617708),12000.0
